stcd,dpres,retiring,gopseat,age
4329,73.6788,1,0,71
4605,44.2006,1,1,46
4606,36.8922,1,1,66
4708,51.6234,1,1,68
4803,24.3215,1,1,58
4901,44.5732,1,1,48
3225,58.6681,,,
3804,60.0208,,,
3814,35.0207,,,
3817,48.6486,,,
